YearMonth,year,time,TotalEbill,EnergyCharge,NonEnergyCharge,AmortizedCost,DemandCharges,EmissionsCosts,PPACost,FuelCost,CogenPPACost,TotalCredit
203008,2030,2030-08-01,1991760.3593594253,786360.9481061118,938668.2611344035,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203009,2030,2030-09-01,2055146.3401279652,811987.5834522608,976427.6065567944,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203010,2030,2030-10-01,2080333.8478547696,823917.6192426512,989685.0784932082,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203011,2030,2030-11-01,1972880.2845167106,767433.4217440904,938715.71265371,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203012,2030,2030-12-01,1964651.0651007078,763310.7694056982,934609.1455760996,0.0,411366.6666666667,0.0,0.0,0.0,0.0,144.63551654775654
203101,2031,2031-01-01,2054264.924994914,770700.8270746561,1018867.2266913487,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203102,2031,2031-02-01,1913503.1232900773,694670.372619195,954135.8794419727,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203103,2031,2031-03-01,1706874.5441630264,616333.5756251574,825844.0973089593,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203104,2031,2031-04-01,2063210.3800718884,763186.487111363,1035327.0217316159,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203105,2031,2031-05-01,2054249.1551314027,764243.0679666424,1025309.2159358509,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203106,2031,2031-06-01,2019870.8526760426,758908.9116338325,996265.0698133006,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203107,2031,2031-07-01,2068852.048743175,792660.3620146053,1011494.8154996603,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203108,2031,2031-08-01,1926552.6853459538,732928.0614984169,928927.7526186272,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203109,2031,2031-09-01,1992269.6490648065,758278.1170933672,969294.66074253,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203110,2031,2031-10-01,2025059.1377713697,773208.2353730059,987154.0311694546,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203111,2031,2031-11-01,1951863.3162821245,732005.5244829864,955160.9205702288,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203112,2031,2031-12-01,1827387.8411189266,677721.7118100673,884969.2580799498,0.0,411366.6666666667,0.0,0.0,0.0,0.0,146.66979543775707
203201,2032,2032-01-01,2073647.2448078236,754178.2617933525,1056352.8106845208,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203202,2032,2032-02-01,1929329.802700628,676975.5035136074,989238.1268570703,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203203,2032,2032-03-01,1721391.783779344,602049.3260202231,856226.2854291706,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203204,2032,2032-04-01,2083368.1288107052,746834.452805092,1073417.503675663,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203205,2032,2032-05-01,2074018.300419862,747874.1815513247,1063027.9465385869,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203206,2032,2032-06-01,2038864.6463418463,742830.1443251773,1032918.3296867188,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203207,2032,2032-07-01,2090194.006007162,778370.3146657329,1048707.5190114789,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203208,2032,2032-08-01,1946982.0004108313,720760.0657341417,963105.7623467391,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203209,2032,2032-09-01,2012859.8321981532,744789.7817762552,1004953.8780919478,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203210,2032,2032-10-01,2046154.3430533512,759566.2984931605,1023471.8722302405,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203211,2032,2032-11-01,1969774.8644128162,716357.6455038108,990301.0465790554,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203212,2032,2032-12-01,1844064.315184298,663420.3781863287,917527.7646680189,0.0,411366.6666666667,0.0,0.0,0.0,0.0,148.25049433671637
203301,2033,2033-01-01,2085311.08241986,737499.5545522332,1083484.660777279,0.0,411366.6666666667,0.0,0.0,0.0,0.0,147.03979957631853
203302,2033,2033-02-01,1938116.5951443226,659142.8557600499,1014646.8722939247,0.0,411366.6666666667,0.0,0.0,0.0,0.0,147.03979957631853
203303,2033,2033-03-01,1730204.9502738945,587660.0834408825,878217.9997426638,0.0,411366.6666666667,0.0,0.0,0.0,0.0,147.03979957631853
203304,2033,2033-04-01,2095637.1296298758,730322.478069382,1100987.7844701456,0.0,411366.6666666667,0.0,0.0,0.0,0.0,147.03979957631853
203305,2033,2033-05-01,2086015.9061927272,731356.977477945,1090332.0616244343,0.0,411366.6666666667,0.0,0.0,0.0,0.0,147.03979957631853
203306,2033,2033-06-01,2050403.3587873236,726627.8373245142,1059448.6543724614,0.0,411366.6666666667,0.0,0.0,0.0,0.0,147.03979957631853
203307,2033,2033-07-01,2103924.493023749,763953.1822854874,1075644.4436479132,0.0,411366.6666666667,0.0,0.0,0.0,0.0,147.03979957631853
203308,2033,2033-08-01,1960644.4302502095,708476.7304856246,987840.832674237,0.0,411366.6666666667,0.0,0.0,0.0,0.0,147.03979957631853
203309,2033,2033-09-01,2026272.6180044322,731178.8768471668,1030766.8740669176,0.0,411366.6666666667,0.0,0.0,0.0,0.0,147.03979957631853
203310,2033,2033-10-01,2059880.5859698004,745794.496696352,1049759.2221831002,0.0,411366.6666666667,0.0,0.0,0.0,0.0,147.03979957631853
