YearMonth,year,time,TotalEbill,EnergyCharge,NonEnergyCharge,AmortizedCost,DemandCharges,EmissionsCosts,PPACost,FuelCost,CogenPPACost,TotalCredit
202507,2025,2025-07-01,1995628.0930006753,817030.4604919549,815250.9658420538,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202508,2025,2025-08-01,2014042.3995387617,826650.298460869,824045.4344112258,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202509,2025,2025-09-01,2081411.456348155,860870.0516161784,857194.7380653097,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202510,2025,2025-10-01,2107433.901688812,875254.3000362124,868832.934985933,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202511,2025,2025-11-01,2019420.3982149723,831986.562482117,824087.1690661886,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202512,2025,2025-12-01,2012270.008659918,828441.3367387386,820482.0052545127,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202601,2026,2026-01-01,2089658.7952562717,830105.2471137252,896206.8814758797,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202602,2026,2026-02-01,1967123.0973154702,764508.5376551668,839267.8929936367,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202603,2026,2026-03-01,1762267.228884937,672499.0323774623,726421.529840808,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202604,2026,2026-04-01,2101328.6544505907,827297.6905376953,910684.297246229,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202605,2026,2026-05-01,2096201.054998555,830984.5128941252,901869.8754377632,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202606,2026,2026-06-01,2066528.0113104999,826858.0576474953,876323.2869963378,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202607,2026,2026-07-01,2106212.497052615,853144.6222407424,889721.208145206,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202608,2026,2026-08-01,1966056.661096668,785615.2691856611,817094.7252443403,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202609,2026,2026-09-01,2035684.0641822089,819736.8753864334,852600.5221291087,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202610,2026,2026-10-01,2069352.979090102,837696.5318712385,868309.7805521968,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202611,2026,2026-11-01,2012592.455444475,809076.8659993061,840168.922778502,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202612,2026,2026-12-01,1891850.111471618,750074.6498937481,778428.7949112032,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202701,2027,2027-01-01,2130630.7712233267,827813.113372857,939470.9911838033,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202702,2027,2027-02-01,2001958.5628627057,758829.7541214161,879782.1420746228,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202703,2027,2027-03-01,1793519.1444106568,668684.1011163166,761488.3766276734,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202704,2027,2027-04-01,2141610.9248486874,823618.2081984575,954646.0499835635,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202705,2027,2027-05-01,2135021.9791831,826268.2958010029,945407.0167154305,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202706,2027,2027-06-01,2103374.5562193706,821399.1332333633,918628.7563193408,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202707,2027,2027-07-01,2145455.898970899,849440.5593788144,932668.6729254181,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202708,2027,2027-08-01,2002521.866507691,782637.8680257644,856537.3318152601,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202709,2027,2027-09-01,2071803.9473890485,814699.2338195209,893758.0469028609,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202710,2027,2027-10-01,2105307.711910116,831734.9016284755,910226.1436149741,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202711,2027,2027-11-01,2043566.2184582239,799494.3028567691,880725.2489347879,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202712,2027,2027-12-01,1919976.5452580396,740624.8045039311,816005.0740874418,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202801,2028,2028-01-01,2165014.6349330395,816719.1610313375,984948.8072350355,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202802,2028,2028-02-01,2031539.6186973627,745820.8873539472,922372.0646767487,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202803,2028,2028-03-01,1820275.6491698339,658576.5995577344,798352.3829454327,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202804,2028,2028-04-01,2175507.5459670825,811296.9869084826,1000863.8923919334,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202805,2028,2028-05-01,2166997.7449131575,812472.6280570338,991178.4501894574,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202806,2028,2028-06-01,2132849.7625128943,806401.9686031276,963101.1272431003,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202807,2028,2028-07-01,2175955.2100343243,834784.7072215282,977823.8361461298,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202808,2028,2028-08-01,2030071.1132057558,768718.6952045524,898005.7513345368,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202809,2028,2028-09-01,2098375.445558941,798000.9457337661,937027.8331585083,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202810,2028,2028-10-01,2131008.900927975,813367.9561915175,954294.2780697906,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202811,2028,2028-11-01,2064967.9915689754,778257.7052355007,923363.6196668078,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202812,2028,2028-12-01,1938806.216357025,719948.4145331646,855511.1351571939,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202901,2029,2029-01-01,2200762.788727039,803280.9534962525,1034135.16856412,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202902,2029,2029-02-01,2061438.935217742,729658.7953239568,968433.4732271187,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202903,2029,2029-03-01,1846163.1343645041,644596.8801099019,838219.5875879354,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202904,2029,2029-04-01,2209606.143399693,795417.9150419491,1050841.5616910774,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202905,2029,2029-05-01,2200561.80339357,796541.7922127781,1040673.3445141249,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202906,2029,2029-06-01,2165233.503859446,790692.7088346683,1011194.1283581113,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202907,2029,2029-07-01,2210861.2762985025,820865.1193040765,1026649.4903277592,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202908,2029,2029-08-01,2063100.1405249895,756906.66410431,942846.8097540127,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202909,2029,2029-09-01,2132046.3133879965,784880.5411300528,983819.1055912774,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202910,2029,2029-10-01,2165401.6752609205,800110.307317235,1001944.7012770189,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202911,2029,2029-11-01,2095770.5115675174,762952.6310743899,969471.2138264609,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
202912,2029,2029-12-01,1967562.3775215289,705983.5433895597,898232.1674653024,0.0,363346.6666666667,0.0,0.0,0.0,0.0,0.0
203001,2030,2030-01-01,2105406.034150465,698383.0163912164,977373.0177592485,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203002,2030,2030-02-01,2097980.675642036,681432.3685792863,986898.3070627499,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203003,2030,2030-03-01,2015064.3733636744,656216.3095145944,929198.06384908,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203004,2030,2030-04-01,2258563.0510795587,750750.5935241783,1078162.4575553804,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203005,2030,2030-05-01,2273314.4416110883,761769.8014227954,1081894.6401882928,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203006,2030,2030-06-01,2278445.2376689836,773558.2869183053,1075236.9507506785,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203007,2030,2030-07-01,2252159.508762298,773781.8720431733,1048727.6367191246,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203008,2030,2030-08-01,2276052.957259201,786360.9481061118,1060042.009153089,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203009,2030,2030-09-01,2344320.4125435175,811987.5834522608,1102682.8290912567,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203010,2030,2030-10-01,2371224.2175957467,823917.6192426512,1117656.5983530956,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203011,2030,2030-11-01,2257177.7079947204,767433.4217440904,1060094.2862506302,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203012,2030,2030-12-01,2248416.4685783577,763310.7694056982,1055455.6991726595,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203101,2031,2031-01-01,2358119.0115764695,770700.8270746561,1157768.1845018133,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203102,2031,2031-02-01,2208530.028770996,694670.372619195,1084209.6561518006,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203103,2031,2031-03-01,1984412.6710095436,616333.5756251574,938429.0953843861,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203104,2031,2031-04-01,2369307.7297379733,763186.487111363,1176471.2426266102,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203105,2031,2031-05-01,2358978.4691378535,764243.0679666424,1165085.4011712112,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203106,2031,2031-06-01,2320641.930941073,758908.9116338325,1132083.0193072408,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203107,2031,2031-07-01,2371696.8640599856,792660.3620146053,1149386.5020453804,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
203108,2031,2031-08-01,2218145.703047214,732928.0614984169,1055567.641548797,0.0,429650.0,0.0,0.0,0.0,0.0,0.0
